merchant_id,mcc,vertical,country,trust_score,prior_cb_rate,refund_rate,cancel_rate,website_uptime,sentiment,sales_growth_3m,payout_delay_days,reserve_percent,deposit_policy_percent,days_in_advance,booking_amount,new_merchant,shock_flag
M0407,4722,online_travel_agency,BR,50.36092799,0.054415868,0.163580592,0.111875201,0.975886589,-0.457892532,0.347020346,2,7.753464512,11.98945389,49,17.75,0,0
M0066,4121,transport_shuttle,BR,75.08605224,0.07746484,0.015070214,0.205369865,0.983756531,0.250098278,-0.083896424,7,6.638522415,5.140677915,8,41.86,0,0
M0707,5964,retail_goods_prepay,GB,53.59530828,0.029432156,0.128354071,0.273848474,0.983109234,-0.123576643,0.318463564,1,8.030922612,22.31942894,6,222.54,0,0
M0164,5964,retail_goods_prepay,SG,82.17109164,0.011569109,0.087354834,0.275643643,0.984314541,-0.001728725,-0.059575432,1,1.50239652,9.814211617,16,17.7,0,0
M0194,4511,airline,GB,66.83575508,0.03122999,0.025041107,0.010319226,0.992587631,0.15245465,-0.077425841,7,6.134712223,7.980807009,178,36.35,0,0
M0474,4121,transport_shuttle,BR,75.47041086,0.006399902,0.029004614,0.165232296,0.972547711,0.298365229,-0.042683879,7,5.408843358,0,2,117.98,0,0
M0437,4722,tour_operator,EU,69.69182332,0.006700341,0.018678579,0.040811663,0.983299141,-0.463555999,-0.023308212,0,7.310214657,12.68934478,29,37.44,0,0
M0613,7922,event_ticketing,GB,79.8014343,0.008690722,0.145060677,0.063976174,0.999,0.299539791,-0.140656604,30,8.981153076,6.611979178,67,178.83,0,1
M0002,5964,retail_goods_prepay,EU,58.88052428,0.024300746,0.177897209,0.044452061,0.999,0.374127086,0.119940205,0,3.681873857,17.94862668,15,61.7,0,0
M0340,4722,tour_operator,BR,70.54459351,0.026976612,0.044664707,0.038363849,0.989580205,0.497369934,-0.049479053,0,11.30991294,8.145106024,140,31.97,0,0
M0529,4511,airline,ZA,66.63003331,0.033873868,0.170529343,0.060939651,0.973828175,-0.022747287,0.125648796,0,10.28813358,8.913915361,135,15.97,0,0
M0431,7011,hotel,CA,69.10814336,0.004463652,0.030941853,0.054342288,0.984125747,0.232880617,0.224951504,1,7.417498374,22.95783253,43,90.56,0,0
M0383,5817,digital_services,BR,66.49892012,0.014193436,0.150535857,0.135985477,0.975177395,0.403593001,-0.17299201,2,6.146896473,17.77642417,2,39.33,1,0
M0452,8299,education_courses,GB,95.83507429,0.03347075,0.020312315,0.103346606,0.980988568,0.077546423,-0.059821526,14,6.327123349,9.218069411,3,229.52,0,0
M0068,4121,transport_shuttle,US,81.83500687,0.055039604,0.047609519,0.06395428,0.972736959,-0.273032026,0.286587781,2,9.099979416,16.04099281,15,29.45,0,0
M0499,4722,tour_operator,GB,46.63572297,0.037188098,0.074560609,0.063297978,0.99890393,-0.32698374,0.087002627,0,7.207990486,0.425515607,95,110.2,0,0
M0248,7922,event_ticketing,IN,68.43759148,0.010719104,0.160225578,0.123607852,0.988011835,0.198247226,0.228790159,1,6.035333198,8.003740151,90,101.97,0,0
M0700,4722,online_travel_agency,GB,79.95544444,0.036332894,0.112006099,0.219278125,0.976958577,0.234687406,0.239545011,0,11.44280916,3.90101482,109,30.76,0,0
M0188,4511,airline,ZA,93.75946042,0.023745225,0.258262456,0.10377527,0.983045832,-0.2020006,0.205514807,7,1.702196476,9.814548178,168,41.51,0,1
