feature,importance_gain
num__high_risk_vertical_flag,5071.93408203125
num__TYPICAL_HORIZON,2559.464599609375
num__BASE_FDR,2327.134033203125
num__SHOCK_FLAG,345.0251770019531
num__shock_adjusted_lead,314.0264892578125
num__DAYS_IN_ADVANCE,283.1611633300781
cat__days_in_advance_bucket_31-90,180.97470092773438
cat__days_in_advance_bucket_91-180,126.9566650390625
num__NEW_MERCHANT,102.69820404052734
num__TRUST_SCORE,91.17393493652344
num__merchant_stability,62.27659606933594
cat__days_in_advance_bucket_180+,61.030517578125
cat__days_in_advance_bucket_0-7,51.845909118652344
cat__days_in_advance_bucket_8-30,43.27456283569336
num__PRIOR_CB_RATE,38.72640609741211
num__SALES_GROWTH_3M,36.74386978149414
num__PAYOUT_DELAY_DAYS,33.42802429199219
cat__VERTICAL_digital_services,32.79134750366211
cat__COUNTRY_EU,31.136829376220703
cat__COUNTRY_CA,30.18579864501953
cat__VERTICAL_subscription_box,29.848806381225586
cat__VERTICAL_airline,29.046611785888672
num__DEPOSIT_POLICY_PERCENT,28.17422866821289
num__CANCEL_RATE,27.767375946044922
num__refund_cancel_ratio,27.443674087524414
num__REFUND_RATE,27.40571403503418
cat__VERTICAL_event_ticketing,27.402463912963867
cat__VERTICAL_retail_goods_prepay,27.29237937927246
cat__COUNTRY_ZA,27.26347541809082
cat__VERTICAL_transport_shuttle,27.202499389648438
cat__VERTICAL_hotel,27.159133911132812
num__SENTIMENT,27.120574951171875
cat__COUNTRY_US,26.941162109375
cat__COUNTRY_AE,26.656417846679688
num__BOOKING_AMOUNT,26.48701286315918
num__RESERVE_PERCENT,25.83755874633789
cat__VERTICAL_tour_operator,25.634464263916016
cat__COUNTRY_IN,25.30147933959961
cat__COUNTRY_GB,23.753955841064453
cat__COUNTRY_SG,23.234725952148438
cat__VERTICAL_education_courses,23.06623077392578
cat__COUNTRY_AU,22.631494522094727
cat__VERTICAL_online_travel_agency,18.8516788482666
cat__COUNTRY_BR,18.262510299682617
